Rk,Player,Age,Pos,GP,G,A,PTS,+/-,PIM,EVG,PPG,SHG,GWG,EV,PP,SH,SOG,SPCT,TSA,TOI,ATOI,FOW,FOL,FO%,BLK,HIT,TAKE,GIVE,Awards,-9999
1,Jack Eichel,26,C,22,6,20,26,14,14,3,3,0,0,15,5,0,71,8.5,116,417:50:00,0.791666667,130,152,46.1,30,25,19,20,,eicheja01
2,Jonathan Marchessault,32,C,22,13,12,25,17,14,10,3,0,3,9,3,0,80,16.3,134,383:06:00,17:25,0,1,0,4,55,13,13,Smythe-1,audymjo01
3,Mark Stone,30,RW,22,11,13,24,5,8,6,4,1,1,11,2,0,49,22.4,86,416:06:00,18:55,1,1,50,16,26,31,7,,stonema01
4,Chandler Stephenson,28,C,22,10,10,20,3,30,9,1,0,3,6,4,0,35,28.6,59,403:10:00,18:20,188,164,53.4,8,31,17,13,,stephch02
5,Ivan Barbashev,27,C,22,7,11,18,14,18,6,1,0,1,10,1,0,32,21.9,59,342:18:00,15:34,23,19,54.8,11,64,10,13,,barbaiv01
6,William Karlsson,30,C,22,11,6,17,11,2,10,1,0,1,5,1,0,45,24.4,75,381:49:00,17:21,168,141,54.4,20,15,24,14,,karlswi01
7,Reilly Smith,31,RW,22,4,10,14,9,14,2,2,0,1,7,3,0,51,7.8,74,368:57:00,16:46,0,1,0,17,32,17,16,,smithre01
8,Shea Theodore,27,D,21,1,12,13,8,10,1,0,0,0,10,2,0,41,2.4,91,422:58:00,20:08,0,0,,34,9,10,13,,theodsh01
9,Nicolas Roy,25,C,22,3,8,11,2,20,3,0,0,1,6,2,0,37,8.1,55,330:16:00,15:01,129,133,49.2,17,48,15,10,,royni01
10,Michael Amadio,26,C,16,5,5,10,8,4,5,0,0,1,4,1,0,19,26.3,33,193:35:00,12:06,7,3,70,9,17,16,6,,amadimi01
11,Brett Howden,24,C,22,5,5,10,4,31,4,1,0,1,5,0,0,30,16.7,49,307:46:00,13:59,14,19,42.4,19,63,7,3,,howdebr01
12,Alex Pietrangelo,33,D,21,1,9,10,9,29,1,0,0,0,6,3,0,44,2.3,99,491:45:00,23:25,0,0,,55,24,23,21,,pietral01
13,Zach Whitecloud,26,D,22,2,6,8,14,21,2,0,0,1,6,0,0,19,10.5,44,411:27:00,18:42,0,0,,40,37,5,14,,whiteza01
14,Alec Martinez,35,D,22,2,5,7,13,4,2,0,0,0,5,0,0,34,5.9,75,428:33:00,19:29,0,0,,57,17,7,15,,martial01
15,Nicolas Hague,24,D,22,2,4,6,12,37,2,0,0,1,4,0,0,25,8,68,408:23:00,18:34,0,0,,31,38,7,10,,hagueni01
16,William Carrier,28,LW,18,2,4,6,2,26,2,0,0,1,3,1,0,16,12.5,30,179:44:00,9:59,1,1,50,9,49,5,3,,carriwi01
17,Keegan Kolesar,25,RW,22,2,3,5,1,50,2,0,0,0,3,0,0,10,20,23,216:00:00,9:49,4,3,57.1,12,79,5,4,,koleske01
18,Brayden McNabb,32,D,21,0,4,4,7,10,0,0,0,0,4,0,0,12,0,41,402:14:00,19:09,0,0,,54,42,13,22,,mcnabbr01
19,Phil Kessel,35,RW,4,0,2,2,2,2,0,0,0,0,2,0,0,5,0,14,47:08:00,11:47,0,2,0,2,3,2,0,,kesseph01
20,Teddy Blueger,28,C,6,1,1,2,1,0,1,0,0,0,1,0,0,6,16.7,7,63:01:00,10:30,8,22,26.7,2,6,1,2,,bluegte01
21,Brayden Pachal,23,D,1,0,0,0,0,2,0,0,0,0,0,0,0,0,,1,11:45,11:45,0,0,,1,0,0,0,,pachabr01
22,Ben Hutton,29,D,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,27:01:00,13:31,0,0,,2,1,0,0,,huttobe01
23,Adin Hill,26,G,16,0,0,0,0,2,0,0,0,0,0,0,0,0,,0,913:20:00,57:05:00,0,0,,0,0,2,9,,hillad01
24,Laurent Brossoit,29,G,8,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,433:22:00,54:10:00,0,0,,0,0,0,3,,brossla01
,Team Totals,,,22,88,150,238,156,352,71,16,1,16,122,28,0,662,13.3,1236,8001:34:00,19:03,673,662,50.4,450,681,249,231,,-9999
