Rk,Player,Age,Pos,GP,CF,CA,CF%,CF% rel,FF,FA,FF%,FF% rel,oiSH%,oiSV%,PDO,oZS%,dZS%,TOI/60,TOI(EV),TK,GV,E+/-,SAtt.,Thru%,-9999
3,Paul Byron,31,LW,22,216,264,45,-5.1,159,188,45.8,-2.8,9.2,89.6,98.8,50.8,49.2,14:35,12:49,7,7,,25,64,byronpa01
8,Jake Evans,24,C/RW,7,77,56,57.9,12.8,53,35,60.2,17.5,10,100,110,41.3,58.7,15:32,12:54,2,2,,20,45,evansja02
13,Artturi Lehkonen,25,LW,17,200,204,49.5,1.1,146,145,50.2,3.3,4.4,92.8,97.2,35.4,64.6,15:07,12:53,4,6,,53,54.7,lehkoar01
21,Ryan McLeod,23,C,57,620,531,53.9,2.3,458,412,52.6,1.9,8.3,91.3,99.6,47.6,52.4,14:11,11:38,23,41,5.9,144,54.2,mcleory01
11,Warren Foegele,26,LW,67,761,618,55.2,3.3,581,466,55.5,4.3,8.7,91.6,100.3,49.2,50.8,12:42,11:42,49,27,9.8,228,55.3,foegewa01
15,Mattias Janmark,30,C,66,653,680,49,-4.7,496,522,48.7,-4.5,8.7,92.3,101,43.2,56.8,14:40,12:37,27,26,-1.4,117,67.5,janmama02
10,Adam Henrique,33,C,17,158,232,40.5,-7.8,111,148,42.9,-6.2,13.9,93.2,107.1,45.2,54.8,14:06,12:45,7,6,,23,60.9,henriad01
8,Michael Dal Colle,23,LW,3,22,25,46.8,5.8,15,16,48.4,1.4,0,100,100,70,30,9:59,9:59,1,1,,3,100,dalcomi01
16,Connor McDavid,27,C,25,544,425,56.1,12.1,371,283,56.7,11.9,12.9,88.2,101.1,64.2,35.8,23:02,18:53,25,16,,139,54.7,mcdavco01
13,Mattias Janmark,31,C,25,179,262,40.6,-10,129,169,43.3,-7.4,11.1,93.8,104.9,39.6,60.4,11:56,9:55,6,6,,41,53.7,janmama02
21,Jean-Gabriel Pageau,27,C,22,243,297,45,-3.3,173,188,47.9,-2,13.8,93.7,107.5,60.2,39.8,17:11,13:51,13,10,,74,60.8,pageaje01
13,Leo Komarov,33,C,17,132,173,43.3,-4,96,107,47.3,-1.7,8.8,91.9,100.8,60.2,39.8,12:06,10:51,3,8,,24,75,komarle01
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
